id	verb	transitive	derived	type
298	بَحَّ	1	مَبْحُوحٌ	Predicate
299	بخر	1	متبخرٌ	Predicate
300	برد	1	مبرَّد	Predicate
301	بَرَّدَ	1	مُبَرَّدٌ	Predicate
302	بَرَّرَ	1	مُبَرَّرٌ	Predicate
303	بَرَّزَ	1	مُبَرَّزٌ	Predicate
304	برعم	1	مبرعمٌ	Predicate
305	برقش	1	مُبَرْقَشٌ	Predicate
306	بَرَمَ	1	مَبْرُومٌ	Predicate
307	بَرَّمَ	1	مُبرَمٌ	Predicate
308	بَرْمَجَ	1	مُبَرْمَجٌ	Predicate
309	بَرْهَنَ	1	مُبَرْهَنٌ	Predicate
310	بَرَى	1	مَبْرِيٌّ	Predicate
311	بَسَطَ	1	مَبْسُوطٌ	Predicate
312	بَسَّطَ	1	مُبَسَّطٌ	Predicate
313	بَشَرَ	1	مَبْشُورٌ	Predicate
314	بَطَّنَ	1	مُبَطَّنٌ	Predicate
315	بَعَثَ	1	مَبْعُوثٌ	Predicate
316	بَعْثَرَ	1	مُبَعْثَرٌ	Predicate
317	بَغَى	1	مَبْغىً	Predicate
318	بَلَّطَ	1	مُبَلَّطٌ	Predicate
319	بَلَّغَ	1	مُبَلَّغٌ	Predicate
320	بَلَّلَ	1	مُبَلَّلٌ	Predicate
321	بَنَّجَ	1	مُبَنَّجٌ	Predicate
322	بَنَى	1	مَبْنِيٌّ	Predicate
323	بَهَرَ	1	مَبْهُورٌ	Predicate
324	بَيَّنَ	1	مُبَيَّنٌ	Predicate
325	تَابَعَ	1	مُتَابَعٌ	Predicate
326	تَبَادَلَ	1	مُتَبَادَلٌ	Predicate
327	تبرعم	1	متبرعمٌ	Predicate
328	تَبَّلَ	1	مُتَبَّلٌ	Predicate
329	تَبَنَّى	1	مُتَبَنّىً	Predicate
330	تَجَاوَزَ	1	مُتَجَاوَزٌ	Predicate
331	تَدَاوَلَ	1	مُتَدَاوَلٌ	Predicate
332	تَرَكَ	1	مَتْرُوكٌ	Predicate
333	تَعَارَفَ	1	مُتَعَارَفٌ	Predicate
334	تَعَبَّدَ	1	مُتَعَبَّدٌ	Predicate
335	تَعِسَ	1	مَتْعُوسٌ	Predicate
336	تَكَلَّمَ	1	مُتَكَلَّمٌ	Predicate
337	تَنَاوَلَ	1	مُتَنَاوَلٌ	Predicate
338	تَنَزَّهَ	1	مُتَنَزَّهٌ	Predicate
339	تَنَصَّحَ	1	مُتَنَصَّحٌ	Predicate
340	تَنَفَّسَ	1	مُتَنَفَّسٌ	Predicate
341	تَوَفَّى	1	مُتَوَفّىً	Predicate
342	تَوَقَّعَ	1	مُتَوَقَّعٌ	Predicate
343	تَيَّمَ	1	مُتَيَّمٌ	Predicate
344	ثَبَّتَ	1	مُثَبَّتٌ	Predicate
345	ثَردَ	1	مَثْرودٌ	Predicate
346	ثَقَّفَ	1	مُثَقَّفٌ	Predicate
347	ثَلَّثَ	1	مُثَلَّثٌ	Predicate
348	ثَلَّجَ	1	مُثَلَّجٌ	Predicate
349	ثَمَّنَ	1	مُثَمَّنٌ	Predicate
350	ثَنَى	1	مُثَنًّى	Predicate
351	جَبَرَ	1	مَجْبُورٌ	Predicate
352	جَبَّرَ	1	مُجَبَّرٌ	Predicate
353	جَبَلَ	1	مَجْبُولٌ	Predicate
354	جَدَّدَ	1	مُجَدَّدُ	Predicate
355	جَدُرَ	1	مَجْدُورٌ	Predicate
356	جَدَّرَ	1	مُجَدَّرٌ	Predicate
357	جَدَلَ	1	مَجْدُولٌ	Predicate
358	جَذَبَ	1	مَجْذُوبٌ	Predicate
359	جَذَرَ	1	مَجْذُورٌ	Predicate
360	جَذَمَ	1	مَجْذُومٌ	Predicate
361	جَرَّ	1	مَجْرُورٌ	Predicate
362	جَرَّبَ	1	مُجَرَّبٌ	Predicate
363	جَرَحَ	1	مَجْرُوحٌ	Predicate
